Timestamp,Course:,Branch (if any):,Currently staying at:,Do you have interest in outdoor games?,How much time you dedicate for your games?,How much time you dedicate for your studies?,Do you like coding?,Are you certified in any of the given language?,Preferable websites for doing extra courses :,How much time you dedicate for improving your coding skills?,"Do you participate in competitive exams such as hackathons, idea generation, codechef?",Are you satisfied with your course curriculum ?,Are you satisfied with lab work/ lab assignment?,How frequently you visit to library?,How long do you study in library reading room?,How many books do you refer while studying a single topic?,Do you find the genre of books in library and their quality sufficient?,What medium of study you prefer for regular studies?,Should mini project labs start from 2nd year?,Have you completed any project on data analytics?,Are technical classes beneficial for you?,Give ratings to your technical classes.,Are aptitude classes beneficial for you?,Give ratings to your aptitude classes.,What combination of theory and lab credits would you prefer?,What do you expect from a teacher?,Would you prefer theory and Practical day separated?,What style of teaching do you prefer?,Would you prefer to go in classroom with laptops?,What do you want to become?,Would you like an amendment in the University policy of 1 student 1 job?,Should there be a trial class for a new joining(teacher) so that students can take a call on the teacher?,Duration of trial class should be?,Should there be night classes as an option so that if you wish you can join the night batch?,What outlook of the University do you get from its current scenario and ongoing proceedings?,Should there be courses introduced in University which provide earning while learning?,"Overall, how happy are you with your academic experience and university life?"
2018/03/14 11:16:50 AM GMT+5:30,B.Tech,Cs,Home(with relatives),Yes,3 hr,3 hr,Yes,C/C++,Udemy,More than 3 hr,No,No,Hh,Weekly,Less than an hour,Most of the times only one,2,Books at Home,No,Yes,Yes,3,No,3,3 theory 2 lab,Balanced theory and practical,Yes,Ppt,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,No,3
2018/03/16 4:19:19 PM GMT+5:30,MBA,,Home(with parents),Yes,1 hr,1 hr,No,No,What is it....???,Dont know abcd of coding,No,Yes,NA,Monthly,Never,Most of the times only one,5,Internet,NA,No,NA,5,Yes,5,NA,Balanced theory and practical,No,Ppt,No,H R manager,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,No,School type learning,Yes,5
2018/03/16 4:20:04 PM GMT+5:30,B.Tech,computer science and engineering,Rented room,Yes,1 hr,More than 3 hr,Yes,Java,Udemy,2 hr,No,Yes,No,Monthly,2 hours,Most of the times only one,3,Notes of class,No,No,Yes,4,Yes,5,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),No,Passionate for placement,Yes,3
2018/03/16 4:20:36 PM GMT+5:30,Polytechnic,C.S,Hostel,Yes,More than 3 hr,2 hr,Yes,C/C++,Coursera,3 hr,No,No,Yes,Weekly,2 hours,Most of the times only one,5,Notes of class,Yes,No,Yes,3,Yes,3,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,Just one lecture,Yes,Passionate for Learning,Yes,3
2018/03/16 4:21:28 PM GMT+5:30,B.Tech,Electronic and communication,Home(with parents),Yes,1 hr,1 hr,No,No,Not done,0,No,Yes,Yes,Monthly,More than 2 hours,At least two,1,Internet,Yes,No,Yes,2,Yes,5,3 theory 2 lab,Balanced theory and practical,Yes,Ppt,Yes,Entrepreneur,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,School type learning,Yes,2
2018/03/16 4:22:26 PM GMT+5:30,MBA,,Home(with parents),Yes,Nowadays not able to give because of university timings ,More than 3 hr,No,None of them,You tube channels For PDP ,2 hr,No,No,No,Monthly,Less than an hour,At least two,4,Books at Home,Yes,No,No,3,No,3,3 theory 2 lab,More practical less theory,Yes,Blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies,Yes,Just one lecture,Yes,Passionate for admission,Yes,3
2018/03/16 4:23:04 PM GMT+5:30,BBA,,Home(with parents),Yes,1 hr,1 hr,Yes,not certifyed,none of the above,not fixed,No,No,No,Ocassionally,Never,Most of the times only one,2,Notes of class,Yes,No,we have no technical classes,1,Yes,3,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Manager in avaition sector,Any number of companies but at least one core company.,Yes,Just one lecture,No,Passionate for Learning,Yes,2
2018/03/16 4:23:35 PM GMT+5:30,BCA,,Home(with parents),No,1 hr,2 hr,Yes,C/C++,Coursera,3 hr,No,Yes,Yes,Monthly,2 hours,By take net help,4,Internet,Yes,Yes,Yes,4,Yes,5,4 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Tester/ Network Engineer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,School type learning,Yes,3
2018/03/16 4:23:40 PM GMT+5:30,B.Tech,ECE,Hostel,No,None,More than 3 hr,No,None,None,None,No,Yes,The instruments in the lab is very old plzz change the instruments,Weekly,2 hours,And use internet,1,Book which teacher suggest is not in the library,No,No,Yes,2,Yes,3,2 theory 2 lab,More practical less theory,No,Excerpts from the books or technical paper reading in classroom,Yes,System/ Database Admin,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for placement,Yes,1
2018/03/16 4:24:13 PM GMT+5:30,B.Tech,Mechanical Engineering,Hostel,Yes,1 hr,1 hr,Yes,Java,Udemy,2 hr,No,No,No,Weekly,Less than an hour,At least two,2,Internet,Yes,No,No,2,Yes,4,2 theory 3 lab,More practical less theory,Yes,Case studies ,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),Yes,Passionate for Learning,Yes,3
